time;x;y;z;gforce
0,0030;0,4456;-0,7661;0,5042;1,020
0,0220;0,4416;-0,7622;0,4964;1,011
0,0240;0,4378;-0,7661;0,4924;1,010
0,0850;0,4456;-0,7700;0,4964;1,019
0,0860;0,4456;-0,7622;0,4886;1,009
0,0880;0,4378;-0,7622;0,4847;1,004
0,0900;0,4378;-0,7622;0,4886;1,006
0,0930;0,4456;-0,7583;0,4924;1,008
0,0940;0,4416;-0,7583;0,4886;1,004
0,0960;0,4416;-0,7622;0,4847;1,005
0,1570;0,4416;-0,7661;0,4886;1,010
0,1600;0,4456;-0,7700;0,5042;1,023
0,1610;0,4416;-0,7700;0,5042;1,021
0,1630;0,4378;-0,7661;0,5042;1,016
0,1650;0,4416;-0,7661;0,5003;1,016
0,1660;0,4456;-0,7700;0,4964;1,019
0,1670;0,4534;-0,7661;0,4964;1,019
0,1710;0,4456;-0,7622;0,4924;1,011
0,1880;0,4378;-0,7622;0,4807;1,002
0,1900;0,4299;-0,7622;0,4847;1,000
0,2480;0,4299;-0,7661;0,4847;1,003
0,2500;0,4378;-0,7661;0,4924;1,010
0,2520;0,4573;-0,7661;0,5159;1,031
0,2540;0,4573;-0,7622;0,5159;1,028
0,2550;0,4534;-0,7661;0,5120;1,027
0,2590;0,4534;-0,7622;0,5120;1,024
0,2600;0,4495;-0,7583;0,4924;1,010
0,3090;0,4456;-0,7583;0,4847;1,004
0,3110;0,4456;-0,7622;0,4847;1,007
0,3130;0,4456;-0,7583;0,4924;1,008
0,3160;0,4456;-0,7544;0,4964;1,007
0,3170;0,4495;-0,7583;0,4964;1,012
0,3340;0,4495;-0,7583;0,5003;1,014
0,3360;0,4534;-0,7583;0,4964;1,013
0,3440;0,4573;-0,7622;0,5042;1,022
0,3650;0,4573;-0,7583;0,4964;1,015
0,3680;0,4495;-0,7622;0,4886;1,011
0,3700;0,4534;-0,7622;0,4847;1,011
0,4370;0,4378;-0,7583;0,4807;0,999
0,4400;0,4416;-0,7583;0,4807;1,001
0,4410;0,4495;-0,7583;0,4847;1,006
0,4430;0,4495;-0,7661;0,4964;1,018
0,4440;0,4495;-0,7661;0,5082;1,023
0,4460;0,4573;-0,7583;0,5042;1,019
0,4470;0,4495;-0,7622;0,4964;1,015
0,4600;0,4534;-0,7661;0,4886;1,015
0,4620;0,4612;-0,7661;0,4924;1,021
0,5060;0,4651;-0,7622;0,5003;1,024
0,5080;0,4612;-0,7661;0,4964;1,023
0,5100;0,4573;-0,7622;0,4964;1,018
0,5120;0,4573;-0,7583;0,4886;1,011
0,5150;0,4573;-0,7505;0,4807;1,002
0,5330;0,4573;-0,7544;0,4886;1,008
0,5360;0,4495;-0,7583;0,4886;1,008
0,5480;0,4456;-0,7544;0,4847;1,001
0,5510;0,4456;-0,7583;0,4807;1,002
0,6110;0,4495;-0,7622;0,4847;1,009
0,6150;0,4495;-0,7622;0,4924;1,013
0,6170;0,4456;-0,7622;0,4964;1,013
0,6200;0,4456;-0,7661;0,5042;1,020
0,6210;0,4495;-0,7622;0,5042;1,018
0,6220;0,4495;-0,7622;0,5003;1,017
0,6240;0,4534;-0,7622;0,4886;1,013
0,6360;0,4534;-0,7583;0,4924;1,011
0,6400;0,4573;-0,7661;0,5003;1,023
0,6510;0,4534;-0,7661;0,4964;1,019
0,6610;0,4495;-0,7583;0,4964;1,012
0,7040;0,4495;-0,7622;0,4886;1,011
0,7060;0,4456;-0,7583;0,4807;1,002
0,7070;0,4456;-0,7544;0,4847;1,001
0,7100;0,4416;-0,7544;0,4924;1,003
0,7110;0,4378;-0,7583;0,4886;1,003
0,7310;0,4573;-0,7622;0,4964;1,018
0,7760;0,4612;-0,7622;0,5082;1,026
0,7780;0,4612;-0,7583;0,5082;1,023
0,7800;0,4534;-0,7583;0,5003;1,015
0,7810;0,4573;-0,7622;0,5003;1,020
0,7830;0,4573;-0,7583;0,5003;1,017
0,7940;0,4573;-0,7622;0,4964;1,018
0,8000;0,4456;-0,7661;0,4886;1,012
0,8150;0,4456;-0,7544;0,4807;0,999
0,8260;0,4378;-0,7465;0,4768;0,988
0,8370;0,4339;-0,7505;0,4807;0,991
1,2780;0,4416;-0,7583;0,4847;1,002
1,2800;0,4456;-0,7622;0,4964;1,013
1,2810;0,4495;-0,7661;0,4886;1,014
1,2830;0,4534;-0,7661;0,4964;1,019
1,2840;0,4534;-0,7661;0,5003;1,021
1,2860;0,4534;-0,7661;0,4924;1,017
1,2870;0,4456;-0,7661;0,4964;1,016
1,2890;0,4495;-0,7661;0,4964;1,018
1,2910;0,4534;-0,7622;0,4964;1,016
1,2920;0,4534;-0,7661;0,4924;1,017
