time;x;y;z;gforce
1,3060;0,5707;-0,8404;0,1681;1,030
1,3080;0,5707;-0,8404;0,1719;1,030
1,3180;0,5590;-0,8365;0,1602;1,019
1,3240;0,5511;-0,8287;0,1641;1,009
1,3700;0,5550;-0,8326;0,1641;1,014
1,3720;0,5667;-0,8326;0,1758;1,022
1,3740;0,5823;-0,8365;0,1798;1,035
1,3760;0,5902;-0,8326;0,1758;1,036
1,3770;0,5785;-0,8287;0,1837;1,027
1,3870;0,5746;-0,8404;0,1876;1,035
1,3940;0,5746;-0,8482;0,1915;1,042
1,4350;0,5707;-0,8365;0,1876;1,030
1,4380;0,5785;-0,8326;0,1837;1,030
1,4390;0,5667;-0,8404;0,1876;1,031
1,4410;0,5550;-0,8443;0,1758;1,026
1,4440;0,5511;-0,8287;0,1681;1,009
1,7000;0,5511;-0,8248;0,1758;1,007
1,7020;0,5590;-0,8248;0,1681;1,010
1,7040;0,5629;-0,8287;0,1915;1,020
1,7060;0,5511;-0,8287;0,1798;1,011
1,7070;0,5746;-0,8091;0,1798;1,009
1,7090;0,5863;-0,8052;0,1915;1,014
1,7110;0,5863;-0,8208;0,2033;1,029
1,7130;0,5863;-0,8287;0,2033;1,035
1,7140;0,5785;-0,8287;0,2033;1,031
1,7160;0,5941;-0,8443;0,2033;1,052
1,7180;0,6098;-0,8287;0,2149;1,051
1,7190;0,5981;-0,8287;0,2071;1,043
1,7210;0,6019;-0,8326;0,2110;1,049
1,7230;0,5941;-0,8248;0,1993;1,036
1,7250;0,5746;-0,8131;0,2033;1,016
1,7340;0,5863;-0,8013;0,1915;1,011
1,7790;0,6019;-0,8091;0,1993;1,028
1,7820;0,6019;-0,8248;0,1876;1,038
1,7840;0,5785;-0,8287;0,1681;1,024
1,7860;0,5785;-0,8326;0,1798;1,030
1,7870;0,5823;-0,8208;0,1954;1,025
1,8330;0,5941;-0,8091;0,2033;1,024
1,8350;0,5863;-0,8131;0,2033;1,023
1,8370;0,5863;-0,8169;0,2071;1,027
1,8390;0,5981;-0,8208;0,2189;1,039
1,8400;0,5863;-0,8287;0,2228;1,039
1,8530;0,5823;-0,8248;0,2189;1,033
1,8550;0,5902;-0,8131;0,2110;1,027
1,8680;0,5941;-0,8131;0,1876;1,024
1,8740;0,5863;-0,7896;0,1641;0,997
1,9160;0,5707;-0,7857;0,1485;0,982
1,9180;0,5590;-0,8131;0,1446;0,997
1,9190;0,5550;-0,8326;0,1602;1,013
1,9210;0,5823;-0,8326;0,2071;1,037
1,9340;0,5981;-0,8169;0,2228;1,037
1,9360;0,6098;-0,8131;0,2189;1,040
1,9480;0,6137;-0,8091;0,2149;1,038
1,9890;0,6254;-0,8208;0,1954;1,050
1,9910;0,6215;-0,8248;0,1798;1,048
1,9930;0,6137;-0,8131;0,1563;1,031
1,9970;0,6019;-0,8091;0,1563;1,020
1,9980;0,6019;-0,8013;0,1602;1,015
2,0150;0,6019;-0,7935;0,1602;1,009
2,0170;0,6019;-0,8052;0,1876;1,023
2,0270;0,6019;-0,8169;0,1954;1,033
2,0400;0,6098;-0,8052;0,2033;1,030
2,0440;0,6019;-0,8169;0,1915;1,033
2,0850;0,5981;-0,8131;0,1758;1,025
2,0870;0,6098;-0,8169;0,1798;1,035
2,0890;0,6098;-0,8287;0,1837;1,045
2,0910;0,6137;-0,8169;0,1798;1,037
2,1030;0,6019;-0,7973;0,1719;1,014
2,1060;0,5823;-0,8013;0,1641;1,004
2,1180;0,6019;-0,8131;0,1641;1,025
2,1300;0,6058;-0,8052;0,1719;1,022
2,1340;0,5823;-0,7857;0,1641;0,992
2,1770;0,5746;-0,7896;0,1524;0,988
2,1790;0,5785;-0,7857;0,1524;0,988
2,1810;0,5746;-0,7935;0,1563;0,992
2,1840;0,5707;-0,8208;0,1798;1,016
2,1860;0,5746;-0,8482;0,2033;1,044
2,1950;0,6176;-0,8287;0,2266;1,058
2,2070;0,6489;-0,8091;0,2423;1,065
2,2140;0,6449;-0,8052;0,2580;1,063
2,2240;0,6137;-0,8208;0,2501;1,055
2,2350;0,5941;-0,8404;0,2423;1,057
2,2740;0,5863;-0,8248;0,2501;1,042
2,2760;0,5941;-0,8052;0,2423;1,030
2,2780;0,5785;-0,8052;0,2345;1,019
2,2800;0,5667;-0,8052;0,2306;1,011
2,2840;0,5590;-0,8091;0,2266;1,009
2,2970;0,5629;-0,7973;0,2345;1,004
2,3100;0,5667;-0,8013;0,2423;1,011
2,3140;0,5707;-0,8013;0,2423;1,013
2,3260;0,5707;-0,8052;0,2345;1,014
2,3370;0,5746;-0,8091;0,2384;1,021
2,3440;0,5981;-0,8208;0,2423;1,044
2,4980;0,6058;-0,8208;0,2345;1,047
2,5010;0,6058;-0,8013;0,2345;1,032
2,5030;0,5902;-0,7935;0,2306;1,015
2,5050;0,5863;-0,8013;0,2266;1,018
2,5070;0,5707;-0,8052;0,2306;1,014
2,5220;0,5746;-0,8287;0,2384;1,036
2,5380;0,5863;-0,8131;0,2306;1,029
2,5390;0,5823;-0,7973;0,2423;1,017
2,5410;0,5707;-0,8013;0,2462;1,014
2,5540;0,5667;-0,8052;0,2384;1,013
2,5550;0,5785;-0,8131;0,2462;1,028
2,5570;0,5902;-0,8091;0,2462;1,031
2,5590;0,5746;-0,8248;0,2657;1,040
2,5600;0,5746;-0,8052;0,2618;1,023
2,5620;0,5667;-0,7973;0,2697;1,015
2,5840;0,5590;-0,8091;0,2618;1,018
2,5860;0,5629;-0,8131;0,2541;1,021
2,5930;0,5746;-0,8169;0,2462;1,029
2,5950;0,5629;-0,8131;0,2384;1,017
2,5960;0,5590;-0,8169;0,2266;1,015
2,5980;0,5472;-0,8131;0,2345;1,008
2,5990;0,5590;-0,8091;0,2423;1,013
2,6250;0,5667;-0,8169;0,2541;1,026
3,0780;0,5941;-0,8208;0,2618;1,047
3,0800;0,5941;-0,8208;0,2697;1,049
3,0810;0,3596;-0,9420;0,1993;1,028
3,0840;0,5823;-0,7857;0,2697;1,014
3,0850;0,5629;-0,7935;0,2462;1,004
3,0870;0,5707;-0,8131;0,2384;1,022
3,0890;0,5550;-0,8248;0,2345;1,021
3,0910;0,5590;-0,8169;0,2228;1,015
3,0930;0,5472;-0,8052;0,2266;1,000
3,0950;0,5472;-0,8013;0,2266;0,996
3,0960;0,5511;-0,8131;0,2345;1,010
3,0980;0,5590;-0,8169;0,2384;1,018
3,1000;0,6137;-0,8091;0,2149;1,038
3,1020;0,6176;-0,8169;0,2149;1,046
3,1040;0,6176;-0,8091;0,1993;1,037
3,1500;0,5981;-0,8013;0,2149;1,023
3,1540;0,5981;-0,8052;0,2423;1,032
3,1560;0,6137;-0,7935;0,1837;1,020
3,1580;0,6019;-0,7973;0,1290;1,007
3,1590;0,5511;-0,8169;0,1407;0,995
3,2340;0,5550;-0,8052;0,1446;0,989
3,2410;0,5511;-0,8091;0,2228;1,004
3,2510;0,5902;-0,8208;0,1758;1,026
3,2530;0,5941;-0,8560;0,1954;1,060
3,2550;0,6098;-0,8443;0,1876;1,058
3,2570;0,6098;-0,8326;0,1798;1,048
3,2590;0,6176;-0,8248;0,1915;1,048
3,2600;0,6137;-0,8131;0,1681;1,032
3,2710;0,5902;-0,8091;0,1758;1,017
3,2720;0,5823;-0,8169;0,1758;1,019
3,2740;0,5902;-0,8248;0,1681;1,028
3,2760;0,5941;-0,8131;0,1641;1,020
3,3550;0,5863;-0,8091;0,1602;1,012
3,3650;0,5785;-0,8169;0,1719;1,016
3,3660;0,5785;-0,8169;0,1602;1,014
3,3680;0,5863;-0,8131;0,1563;1,015
3,3700;0,5863;-0,8248;0,1837;1,028
3,3710;0,5863;-0,8287;0,1915;1,033
3,3780;0,5863;-0,8326;0,1837;1,035
3,3800;0,5863;-0,8248;0,1758;1,027
3,3920;0,5823;-0,8248;0,1837;1,026
3,3940;0,5785;-0,8365;0,1681;1,031
3,3960;0,5823;-0,8326;0,1798;1,032
3,3970;0,5590;-0,8443;0,1681;1,026
3,4150;0,5511;-0,8404;0,1563;1,017
3,4170;0,5707;-0,8248;0,1446;1,013
3,4550;0,6215;-0,8326;0,1446;1,049
3,4580;0,6332;-0,8443;0,1524;1,066
3,4600;0,5823;-0,8482;0,1290;1,037
3,4620;0,5590;-0,8326;0,1172;1,010
3,4640;0,5003;-0,8052;0,1094;0,954
3,4740;0,5315;-0,7935;0,1367;0,965
3,5250;0,5590;-0,8560;0,1250;1,030
3,5330;0,5707;-0,8639;0,1407;1,045
3,5350;0,5785;-0,8443;0,1524;1,035
3,5360;0,5902;-0,8521;0,1407;1,046
3,5380;0,6019;-0,8560;0,1446;1,056
3,5400;0,6098;-0,8756;0,1446;1,077
3,5480;0,5707;-0,8990;0,1407;1,074
3,5590;0,5823;-0,8443;0,0859;1,029
3,5640;0,5785;-0,8208;0,1055;1,010
3,6090;0,5667;-0,8404;0,0820;1,017
3,6140;0,5746;-0,8678;0,0820;1,044
3,6160;0,5590;-0,8795;0,0977;1,047
3,6170;0,5707;-0,8678;0,0742;1,041
3,6190;0,5785;-0,8560;0,0859;1,037
3,6270;0,5707;-0,8599;0,0820;1,035
3,6390;0,5550;-0,8639;0,0782;1,030
3,6500;0,5667;-0,8482;0,0782;1,023
3,6540;0,5511;-0,8560;0,0859;1,022
3,6650;0,5433;-0,8560;0,0859;1,017
3,7050;0,5159;-0,8599;0,0782;1,006
3,7070;0,5199;-0,8326;0,0782;0,985
3,7080;0,5315;-0,8248;0,0703;0,984
3,7120;0,5238;-0,8443;0,0899;0,998
3,7140;0,5355;-0,8795;0,0703;1,032
3,7240;0,5590;-0,8795;0,0782;1,045
3,7350;0,5590;-0,8912;0,0664;1,054
3,7470;0,5590;-0,8912;0,0782;1,055
3,7580;0,5550;-0,8912;0,0742;1,053
3,7640;0,5433;-0,8990;0,0820;1,054
3,7750;0,5433;-0,8756;0,0899;1,034
3,7850;0,5511;-0,9459;0,0782;1,098
3,8250;0,5511;-0,8599;0,1016;1,026
3,8270;0,5433;-0,8443;0,0899;1,008
3,8290;0,5355;-0,8678;0,0547;1,021
3,8310;0,5629;-0,8716;0,0430;1,038
3,8340;0,5707;-0,8951;0,0312;1,062
3,8440;0,5785;-0,9107;0,0430;1,080
3,8550;0,5902;-0,8873;0,0468;1,067
3,8700;0,5707;-0,8716;0,0391;1,043
3,8740;0,5550;-0,8678;0,0430;1,031
3,9130;0,5315;-0,8678;0,0351;1,018
3,9180;0,5199;-0,8834;0,0116;1,025
3,9200;0,5042;-0,8716;0,0156;1,007
3,9220;0,5082;-0,8521;0,0000;0,992
3,9240;0,5277;-0,8443;-0,0039;0,996
3,9350;0,5355;-0,8560;-0,0156;1,010
3,9470;0,5472;-0,8639;-0,0351;1,023
3,9550;0,5629;-0,8639;-0,0273;1,031
4,3210;0,5433;-0,8756;-0,0078;1,030
4,3240;0,5355;-0,8678;0,0116;1,020
4,3250;0,5159;-0,8756;0,0312;1,017
4,3270;0,5003;-0,8795;0,0195;1,012
4,3290;0,5199;-0,8951;0,0078;1,035
4,3310;0,5199;-0,8873;0,0391;1,029
4,3330;0,5315;-0,8716;0,0273;1,021
4,3350;0,5590;-0,8716;0,0351;1,036
4,3370;0,5667;-0,8951;0,0351;1,060
4,3390;0,5629;-0,9068;0,0351;1,068
4,3400;0,5667;-0,8912;0,0312;1,057
4,3420;0,5550;-0,8873;0,0351;1,047
4,3440;0,5667;-0,8990;0,0938;1,067
4,3450;0,5746;-0,7973;0,0938;0,987
4,3470;0,5667;-0,8013;0,1290;0,990
4,3570;0,5629;-0,8521;0,2580;1,053
4,3680;0,5355;-0,8639;0,0859;1,020
4,3740;0,5315;-0,8990;0,1172;1,051
4,4160;0,4886;-0,8951;0,0782;1,023
4,4190;0,4964;-0,8639;0,0624;0,998
4,4210;0,5394;-0,8756;0,0508;1,030
4,4280;0,5746;-0,8795;0,0742;1,053
4,4300;0,6098;-0,8795;0,0703;1,073
4,4380;0,6215;-0,8756;0,0624;1,076
4,4440;0,6371;-0,8795;0,0624;1,088
4,4560;0,6254;-0,8639;0,0782;1,069
4,4640;0,6019;-0,8365;0,0703;1,033
4,5040;0,5823;-0,8208;0,0899;1,010
4,5060;0,5355;-0,8482;0,0664;1,005
4,5080;0,5120;-0,8639;0,0586;1,006
4,5100;0,4730;-0,8716;0,0703;0,994
4,5140;0,4612;-0,8678;0,0742;0,986
4,5250;0,4651;-0,8365;0,0782;0,960
4,5340;0,4730;-0,8521;0,0859;0,978
4,5440;0,5042;-0,8716;0,0742;1,010
4,5890;0,5472;-0,8639;0,0624;1,025
4,5910;0,5981;-0,8795;0,0430;1,064
4,5940;0,6176;-0,8873;0,0468;1,082
4,5950;0,6254;-0,8795;0,0430;1,080
4,5970;0,6098;-0,8716;0,0195;1,064
4,6080;0,5707;-0,8521;0,0000;1,026
4,6210;0,5511;-0,8365;-0,0039;1,002
4,6240;0,5120;-0,8521;-0,0156;0,994
4,6340;0,5042;-0,8521;-0,0116;0,990
4,6470;0,5082;-0,8326;-0,0156;0,976
4,6590;0,5003;-0,8326;0,0273;0,972
4,6640;0,5315;-0,8795;0,0430;1,029
4,7120;0,5707;-0,8834;0,0273;1,052
4,7150;0,5981;-0,8639;0,0039;1,051
4,7170;0,6058;-0,8678;0,0078;1,058
4,7200;0,5863;-0,8795;-0,0078;1,057
4,7220;0,5746;-0,8834;0,0000;1,054
4,7240;0,5550;-0,8795;0,0000;1,040
4,7350;0,5590;-0,8678;-0,0195;1,032
4,7490;0,5433;-0,8756;-0,0273;1,031
4,7540;0,5355;-0,8834;-0,0195;1,033
4,7640;0,5433;-0,8795;-0,0116;1,034
4,8110;0,5707;-0,8560;0,0000;1,029
4,8130;0,5823;-0,8678;-0,0039;1,045
4,8150;0,6332;-0,8951;-0,0116;1,096
4,8170;0,6566;-0,9068;-0,0351;1,120
4,8190;0,6489;-0,8990;-0,0391;1,109
4,8250;0,6137;-0,8599;-0,0273;1,057
4,8340;0,5315;-0,8248;-0,0273;0,982
4,8480;0,4964;-0,8131;-0,0351;0,953
4,8540;0,4573;-0,8208;-0,0312;0,940
4,8660;0,4573;-0,8208;-0,0391;0,940
4,9120;0,4807;-0,8287;-0,0547;0,960
4,9150;0,5042;-0,8678;-0,0547;1,005
4,9170;0,5550;-0,8795;-0,0468;1,041
4,9190;0,6098;-0,8639;-0,0508;1,059
4,9220;0,6449;-0,8521;-0,0547;1,070
4,9240;0,6606;-0,8716;-0,0468;1,095
4,9360;0,6723;-0,8678;-0,0312;1,098
4,9490;0,6684;-0,8639;-0,0195;1,092
4,9700;0,6566;-0,8716;-0,0039;1,091
4,9730;0,6019;-0,8599;0,0078;1,050
4,9750;0,5667;-0,8599;0,0156;1,030
5,0240;0,5550;-0,8404;-0,0039;1,007
5,0290;0,5277;-0,8482;-0,0078;0,999
5,0310;0,4924;-0,8482;-0,0195;0,981
5,0330;0,4886;-0,8326;-0,0351;0,966
5,0350;0,4807;-0,8326;-0,0586;0,963
5,0370;0,4807;-0,8482;-0,0742;0,978
5,0450;0,4847;-0,8834;-0,0977;1,012
5,0540;0,4964;-0,8873;-0,1016;1,022
5,0640;0,5042;-0,8951;-0,1094;1,033
5,1090;0,5042;-0,9147;-0,0899;1,048
5,1110;0,5238;-0,9224;-0,0820;1,064
5,1160;0,5433;-0,9147;-0,0664;1,066
5,1190;0,5590;-0,9342;-0,0391;1,089
5,1200;0,5746;-0,9303;-0,0351;1,094
5,1280;0,5902;-0,9224;0,0000;1,095
5,1380;0,5902;-0,9147;-0,0116;1,089
5,1440;0,5746;-0,8873;-0,0039;1,057
5,1550;0,5511;-0,8873;0,0039;1,045
5,1710;0,5315;-0,8951;0,0039;1,041
5,1740;0,5315;-0,8795;-0,0116;1,028
5,2190;0,5394;-0,8756;-0,0195;1,029
5,2210;0,5355;-0,8795;-0,0430;1,031
5,5170;0,5159;-0,8912;-0,0430;1,031
5,5180;0,5277;-0,8521;-0,0273;1,003
5,5200;0,5159;-0,8639;-0,0703;1,009
5,5230;0,5082;-0,8834;-0,0742;1,022
5,5250;0,5082;-0,8834;-0,0586;1,021
5,5270;0,5082;-0,8873;-0,0508;1,024
5,5280;0,5120;-0,8873;-0,0547;1,026
5,5300;0,5042;-0,8873;-0,0156;1,021
5,5320;0,4807;-0,8912;0,0078;1,013
5,5340;0,4691;-0,8482;0,0000;0,969
5,5350;0,4573;-0,8560;-0,0351;0,971
5,5370;0,4534;-0,9186;-0,0782;1,027
5,5390;0,4339;-0,8599;0,0156;0,963
5,5410;0,4495;-0,9186;0,0116;1,023
5,5440;0,4924;-0,8521;-0,0156;0,984
5,5540;0,5120;-0,8678;0,0000;1,008
5,6010;0,5120;-0,9030;0,0116;1,038
