time;x;y;z;gforce
1.9090;0.6762;-0.7427;0.3127;1.052
1.9110;0.6606;-0.7427;0.2853;1.034
1.9120;0.6566;-0.7349;0.2970;1.029
1.9140;0.6489;-0.7309;0.2736;1.015
1.9160;0.7232;-0.7700;0.1016;1.061
1.9170;0.6918;-0.7896;0.0977;1.054
1.9200;0.6684;-0.7779;0.0899;1.029
1.9310;0.6528;-0.7740;0.1133;1.019
1.9450;0.6489;-0.7740;0.1133;1.016
1.9500;0.6293;-0.7700;0.0938;0.999
2.0030;0.6058;-0.8013;0.0820;1.008
2.0050;0.6293;-0.7817;0.0664;1.006
2.0080;0.6606;-0.7700;0.0547;1.016
2.0110;0.6723;-0.8052;0.1329;1.057
2.0140;0.6645;-0.7935;0.1524;1.046
2.0170;0.6449;-0.7857;0.1758;1.032
2.0240;0.6293;-0.7935;0.2071;1.034
2.0300;0.5707;-0.7973;0.1798;0.997
2.0750;0.5472;-0.7896;0.1719;0.976
2.0780;0.5707;-0.8208;0.1876;1.017
2.0800;0.5981;-0.8287;0.1915;1.040
2.0840;0.6528;-0.7973;0.1798;1.046
2.0860;0.6801;-0.7817;0.1641;1.049
2.0930;0.6880;-0.7427;0.1524;1.024
2.1000;0.6606;-0.7583;0.1290;1.014
2.1100;0.6137;-0.8013;0.0977;1.014
2.1700;0.6215;-0.8131;0.1055;1.029
2.1720;0.6723;-0.7740;0.1329;1.034
2.1730;0.6645;-0.7740;0.1524;1.031
2.1750;0.6528;-0.7935;0.2110;1.049
2.1760;0.6410;-0.8013;0.2071;1.047
2.1810;0.6371;-0.7973;0.1837;1.037
2.1830;0.6449;-0.7896;0.1954;1.038
2.1910;0.6449;-0.7896;0.1524;1.031
2.2000;0.6723;-0.7583;0.2345;1.040
2.2140;0.6997;-0.7465;0.1993;1.042
2.2290;0.6841;-0.7896;0.1446;1.055
2.2320;0.6723;-0.8131;0.1681;1.068
2.2830;0.6489;-0.8091;0.1485;1.048
2.2850;0.6684;-0.7896;0.1602;1.047
2.2980;0.6801;-0.7817;0.1681;1.050
2.3000;0.6410;-0.8169;0.1915;1.056
2.3020;0.6762;-0.7505;0.1172;1.017
2.3100;0.6566;-0.7465;0.1094;1.000
2.3120;0.6410;-0.7700;0.1524;1.013
2.3150;0.6332;-0.8131;0.1367;1.040
2.3270;0.6176;-0.7896;0.0664;1.005
2.3300;0.6176;-0.7465;0.0938;0.973
2.3430;0.6215;-0.7074;0.1172;0.949
2.3560;0.6137;-0.7192;0.1602;0.959
2.3690;0.6137;-0.7740;0.2149;1.011
2.3730;0.6098;-0.8052;0.1681;1.024
2.3860;0.6410;-0.8052;0.1681;1.043
2.3920;0.6645;-0.7779;0.1329;1.032
2.4360;0.7349;-0.7427;0.1290;1.053
2.4400;0.7779;-0.7153;0.1524;1.068
2.4420;0.8013;-0.6997;0.1524;1.075
2.4440;0.7740;-0.7074;0.1250;1.056
2.4450;0.7309;-0.7309;0.1446;1.044
2.4580;0.7309;-0.7232;0.1485;1.039
2.4610;0.6880;-0.7465;0.1407;1.025
2.4750;0.6449;-0.7661;0.1681;1.015
2.4800;0.6215;-0.7857;0.1719;1.016
2.5330;0.6137;-0.7896;0.1524;1.012
2.5350;0.6332;-0.7817;0.1250;1.014
2.5380;0.7114;-0.7427;0.1485;1.039
2.5400;0.7388;-0.7153;0.1329;1.037
2.5420;0.7505;-0.7074;0.1250;1.039
2.5440;0.7465;-0.7232;0.1290;1.047
2.5540;0.7153;-0.7622;0.1446;1.055
2.5600;0.6841;-0.7661;0.1602;1.040
2.5720;0.6176;-0.8131;0.1758;1.036
2.5860;0.5785;-0.8326;0.1524;1.025
2.5900;0.5981;-0.8365;0.1367;1.037
2.6000;0.6371;-0.8404;0.1837;1.071
2.6100;0.6762;-0.8208;0.1876;1.080
2.6540;0.6684;-0.8052;0.1563;1.058
2.6560;0.6293;-0.8091;0.1485;1.036
2.6590;0.6176;-0.8404;0.1407;1.052
2.6620;0.6058;-0.8131;0.1016;1.019
2.6640;0.6019;-0.8013;0.0586;1.004
2.6740;0.6019;-0.7817;0.0624;0.989
2.6860;0.6019;-0.7661;0.0899;0.978
2.6900;0.6058;-0.7622;0.1915;0.992
2.7050;0.6058;-0.7857;0.2189;1.016
2.7100;0.5981;-0.8678;0.1993;1.073
2.7200;0.6566;-0.9224;0.2110;1.152
2.7310;0.6293;-0.8756;0.2189;1.100
2.7750;0.6489;-0.8248;0.1954;1.067
2.7770;0.6606;-0.7935;0.1602;1.045
2.7810;0.6762;-0.7583;0.1329;1.025
2.7830;0.6645;-0.7544;0.1250;1.013
3.3770;0.5941;-0.8287;0.1329;1.028
3.3780;0.5472;-0.8716;0.0977;1.034
3.3810;0.5394;-0.8443;0.1250;1.010
3.3820;0.5746;-0.7779;0.1367;0.977
3.3840;0.5981;-0.7896;0.1407;1.000
3.3860;0.6215;-0.7700;0.1055;0.995
3.3870;0.6254;-0.7740;0.1211;1.002
3.3900;0.6215;-0.9030;0.1367;1.105
3.3910;0.5511;-0.8131;0.1250;0.990
3.3930;0.5590;-0.8208;0.1602;1.006
3.3950;0.5981;-0.8091;0.1407;1.016
3.3970;0.6098;-0.8169;0.1094;1.025
3.3980;0.6332;-0.7779;0.1758;1.018
3.4000;0.6762;-0.7583;0.2071;1.037
3.4020;0.6606;-0.7544;0.2384;1.031
3.4160;0.5981;-0.7973;0.1915;1.015
3.4200;0.6489;-0.8052;0.2580;1.066
3.4350;0.6684;-0.7622;0.2501;1.044
3.4400;0.6371;-0.7622;0.1876;1.011
3.4900;0.6176;-0.7896;0.1563;1.015
3.4920;0.5981;-0.7935;0.1485;1.005
3.4940;0.6371;-0.7740;0.1876;1.020
3.4980;0.6801;-0.7740;0.2306;1.056
3.5000;0.6801;-0.7740;0.2149;1.053
3.5020;0.6528;-0.7817;0.1954;1.037
3.5100;0.6528;-0.7740;0.1837;1.029
3.5610;0.6489;-0.7700;0.1719;1.022
3.5640;0.6449;-0.7700;0.1681;1.018
3.5660;0.6410;-0.7661;0.1954;1.018
3.5690;0.6449;-0.7622;0.2149;1.021
3.5710;0.6332;-0.7740;0.2033;1.020
3.5730;0.6254;-0.7779;0.1876;1.016
3.5820;0.6215;-0.7817;0.1758;1.014
3.5920;0.6254;-0.7857;0.1798;1.020
3.6000;0.6371;-0.7935;0.2306;1.043
3.6100;0.6293;-0.7740;0.1876;1.015
3.6560;0.6176;-0.7779;0.1798;1.009
3.6580;0.6332;-0.7857;0.1876;1.026
3.6600;0.6489;-0.7857;0.2110;1.041
3.6620;0.6528;-0.7779;0.2189;1.039
3.6640;0.6489;-0.7817;0.2071;1.037
3.6730;0.6449;-0.7857;0.2033;1.037
3.6800;0.6410;-0.7857;0.2110;1.036
3.6910;0.6332;-0.7740;0.2033;1.020
3.7000;0.6332;-0.7779;0.1915;1.021
3.7100;0.6449;-0.7700;0.1954;1.023
