time,x,y,z
18:36:01:322,-0.05,0.60,-0.06
18:36:01:326,-0.06,0.56,-0.07
18:36:01:338,-0.04,0.53,-0.09
18:36:01:345,-0.02,0.50,-0.11
18:36:01:386,0.01,0.44,-0.13
18:36:01:389,0.02,0.38,-0.15
18:36:01:392,0.01,0.33,-0.18
18:36:01:394,-0.02,0.28,-0.18
18:36:01:396,-0.07,0.24,-0.19
18:36:01:405,-0.12,0.21,-0.18
18:36:01:413,-0.16,0.17,-0.18
18:36:01:423,-0.18,0.14,-0.17
18:36:01:433,-0.20,0.12,-0.17
18:36:01:472,-0.20,0.11,-0.14
18:36:01:475,-0.19,0.08,-0.11
18:36:01:477,-0.18,0.05,-0.06
18:36:01:481,-0.20,0.01,-0.01
18:36:01:491,-0.22,-0.07,0.04
18:36:01:506,-0.26,-0.15,0.08
18:36:01:695,-0.27,-0.26,0.09
18:36:01:696,-0.26,-0.37,0.11
18:36:01:698,-0.22,-0.44,0.11
18:36:01:699,-0.17,-0.46,0.11
18:36:01:701,-0.13,-0.43,0.14
18:36:01:702,-0.09,-0.37,0.16
18:36:01:703,-0.06,-0.32,0.18
18:36:01:705,-0.04,-0.30,0.19
18:36:01:706,-0.02,-0.30,0.20
18:36:01:708,-0.02,-0.28,0.18
18:36:01:709,-0.00,-0.25,0.15
18:36:01:711,0.01,-0.20,0.11
18:36:01:712,-0.03,0.13,-0.02
18:36:01:713,0.06,0.14,-0.02
18:36:01:715,0.12,0.17,-0.04
18:36:01:724,0.15,0.21,-0.02
18:36:01:764,0.17,0.24,-0.00
18:36:01:766,0.16,0.30,0.01
18:36:01:768,0.14,0.35,0.04
18:36:01:770,0.13,0.36,0.05
18:36:01:777,0.09,0.33,0.05
18:36:01:782,0.03,0.25,0.06
18:36:01:817,-0.03,0.16,0.08
18:36:01:820,-0.09,0.08,0.09
18:36:01:822,-0.14,0.02,0.10
18:36:01:824,-0.15,-0.01,0.13
18:36:01:831,-0.13,-0.05,0.12
18:36:01:841,-0.09,-0.10,0.09
18:36:01:884,0.00,-0.17,0.07
18:36:01:886,0.08,-0.23,0.01
18:36:01:888,0.15,-0.25,-0.03
18:36:01:890,0.20,-0.17,-0.03
18:36:01:891,0.22,-0.01,-0.01
18:36:01:899,0.17,0.21,0.03
18:36:01:909,0.09,0.38,0.02
18:36:01:924,0.01,0.51,0.01
18:36:01:928,-0.06,0.54,-0.00
18:36:01:939,-0.08,0.43,-0.07
