time,x,y,z
18:22:37:449,0.23,-0.07,-1.07
18:22:37:451,0.19,0.01,-1.06
18:22:37:452,0.10,0.16,-0.99
18:22:37:454,0.03,0.31,-0.89
18:22:37:456,-0.05,0.38,-0.84
18:22:37:457,-0.08,0.38,-0.81
18:22:37:459,-0.04,0.33,-0.82
18:22:37:461,0.06,0.22,-0.88
18:22:37:463,0.21,0.09,-0.98
18:22:37:465,0.37,-0.00,-1.10
18:22:37:466,0.23,0.61,-1.35
18:22:37:468,0.33,0.53,-1.44
18:22:37:477,0.41,0.54,-1.62
18:22:37:481,0.51,0.61,-1.95
18:22:37:506,0.66,0.72,-2.14
18:22:37:509,0.73,0.87,-2.25
18:22:37:511,0.70,0.94,-2.22
18:22:37:537,0.57,0.95,-1.97
18:22:37:541,0.41,0.96,-1.74
18:22:37:542,0.31,0.95,-1.54
18:22:37:554,0.27,0.88,-1.38
18:22:37:560,0.28,0.77,-1.27
18:22:37:570,0.25,0.60,-1.22
18:22:37:579,0.16,0.46,-1.24
18:22:37:588,0.11,0.35,-1.26
18:22:37:598,0.10,0.29,-1.27
18:22:37:631,0.13,0.22,-1.24
18:22:37:635,0.22,0.13,-1.19
18:22:37:638,0.35,0.02,-1.13
18:22:37:641,0.53,-0.04,-1.12
18:22:37:647,0.73,-0.04,-1.14
18:22:37:657,0.84,0.01,-1.17
18:22:37:671,0.76,0.09,-1.15
18:22:37:676,0.49,0.16,-1.08
18:22:37:687,0.13,0.17,-0.99
18:22:37:696,-0.17,0.12,-0.93
18:22:37:731,-0.38,0.04,-0.90
18:22:37:735,-0.49,-0.05,-0.85
18:22:37:737,-0.50,-0.14,-0.79
18:22:37:739,-0.44,-0.19,-0.72
18:22:37:745,-0.34,-0.24,-0.65
18:22:37:755,-0.23,-0.27,-0.64
18:22:37:764,-0.18,-0.30,-0.64
18:22:37:774,-0.18,-0.33,-0.65
18:22:37:812,-0.18,-0.35,-0.66
18:22:37:817,-0.15,-0.35,-0.68
18:22:37:820,-0.16,-0.34,-0.70
18:22:37:822,-0.22,-0.33,-0.73
18:22:37:824,-0.30,-0.35,-0.76
18:22:37:832,-0.33,-0.38,-0.76
18:22:37:842,-0.19,-0.44,-0.75
18:22:37:854,0.11,-0.48,-0.77
18:22:37:861,0.38,-0.50,-0.81
18:22:37:872,0.50,-0.51,-0.87
18:22:37:881,0.40,-0.48,-0.92
18:22:37:915,0.18,-0.45,-1.02
18:22:37:920,-0.01,-0.48,-1.13
18:22:37:922,-0.11,-0.54,-1.19
18:22:37:924,-0.15,-0.66,-1.22
18:22:37:929,-0.19,-0.79,-1.15
18:22:37:939,-0.26,-0.89,-1.06
18:22:37:949,-0.30,-0.93,-1.05
18:22:37:959,-0.31,-0.92,-1.08
18:22:37:971,-0.21,-0.91,-1.18
18:22:37:978,-0.04,-0.92,-1.32
18:22:37:989,0.12,-0.91,-1.44
18:22:37:997,0.24,-0.88,-1.58
18:22:38:32,0.24,-0.79,-1.69
18:22:38:36,0.13,-0.66,-1.75
18:22:38:39,-0.06,-0.54,-1.75
18:22:38:41,-0.25,-0.44,-1.69
18:22:38:46,-0.45,-0.33,-1.58
18:22:38:56,-0.62,-0.25,-1.46
18:22:38:66,-0.70,-0.18,-1.38
18:22:38:76,-0.68,-0.13,-1.38
18:22:38:112,-0.59,-0.13,-1.45
18:22:38:118,-0.48,-0.22,-1.61
18:22:38:121,-0.38,-0.36,-1.78
18:22:38:124,-0.32,-0.49,-1.94
18:22:38:126,-0.29,-0.59,-2.03
18:22:38:135,-0.32,-0.56,-2.05
18:22:38:144,-0.37,-0.48,-2.09
18:22:38:156,-0.39,-0.38,-2.04
18:22:38:163,-0.40,-0.22,-1.98
