time,x,y,z
18:09:57:26,0.66,0.18,0.01
18:09:57:35,0.63,0.05,-0.11
18:09:57:45,0.69,-0.08,-0.27
18:09:57:71,0.76,-0.13,-0.41
18:09:57:74,0.77,-0.14,-0.45
18:09:57:76,0.74,-0.10,-0.41
18:09:57:87,0.68,-0.01,-0.33
18:09:57:93,0.62,0.08,-0.25
18:09:57:103,0.63,0.17,-0.23
18:09:57:113,0.68,0.24,-0.26
18:09:57:123,0.76,0.29,-0.29
18:09:57:135,0.82,0.29,-0.32
18:09:57:142,0.84,0.27,-0.31
18:09:57:152,0.79,0.18,-0.29
18:09:57:162,0.70,0.04,-0.25
18:09:57:198,0.60,-0.11,-0.25
18:09:57:202,0.50,-0.27,-0.26
18:09:57:204,0.45,-0.38,-0.29
18:09:57:206,0.46,-0.46,-0.32
18:09:57:210,0.48,-0.50,-0.32
18:09:57:220,0.51,-0.54,-0.30
18:09:57:230,0.52,-0.56,-0.25
18:09:57:240,0.49,-0.59,-0.23
18:09:57:281,0.47,-0.63,-0.23
18:09:57:284,0.47,-0.68,-0.25
18:09:57:286,0.47,-0.72,-0.27
18:09:57:289,0.45,-0.75,-0.29
18:09:57:291,0.41,-0.76,-0.30
18:09:57:304,0.35,-0.76,-0.32
18:09:57:308,0.27,-0.72,-0.30
18:09:57:321,0.22,-0.63,-0.28
18:09:57:327,0.18,-0.51,-0.25
18:09:57:337,0.17,-0.37,-0.20
18:09:57:348,0.19,-0.24,-0.17
18:09:57:385,0.24,-0.14,-0.15
18:09:57:388,0.32,-0.05,-0.14
18:09:57:390,0.43,0.04,-0.14
18:09:57:392,0.57,0.09,-0.14
18:09:57:401,0.72,0.14,-0.15
18:09:57:410,0.87,0.19,-0.17
18:09:57:425,1.01,0.20,-0.21
18:09:57:429,1.08,0.21,-0.27
18:09:57:444,1.11,0.21,-0.33
18:09:57:449,1.08,0.23,-0.37
18:09:57:469,0.99,0.25,-0.39
18:09:57:472,0.92,0.28,-0.42
18:09:57:475,0.86,0.28,-0.44
18:09:57:495,0.84,0.29,-0.47
18:09:57:498,0.80,0.32,-0.52
18:09:57:574,0.72,0.40,-0.56
18:09:57:576,0.64,0.54,-0.60
18:09:57:578,0.51,0.72,-0.63
18:09:57:579,0.38,0.89,-0.65
18:09:57:582,0.27,1.04,-0.67
18:09:57:584,0.20,1.16,-0.70
18:09:57:587,0.21,1.26,-0.75
18:09:57:591,0.30,1.32,-0.79
18:09:57:593,0.45,1.34,-0.81
18:09:57:594,0.62,1.29,-0.79
18:09:57:628,0.75,1.18,-0.78
18:09:57:630,0.84,1.03,-0.78
18:09:57:633,0.87,0.87,-0.78
18:09:57:635,0.87,0.70,-0.77
18:09:57:645,0.82,0.57,-0.73
18:09:57:649,0.73,0.49,-0.66
18:09:57:676,0.62,0.43,-0.57
18:09:57:679,0.49,0.41,-0.48
18:09:57:680,0.37,0.43,-0.42
18:09:57:707,0.29,0.46,-0.39
18:09:57:709,0.25,0.50,-0.38
18:09:57:711,0.25,0.54,-0.39
18:09:57:722,0.28,0.54,-0.39
18:09:57:726,0.31,0.51,-0.37
18:09:57:737,0.30,0.45,-0.37
18:09:57:746,0.29,0.37,-0.42
18:09:57:756,0.30,0.25,-0.49
18:09:57:789,0.30,0.13,-0.57
18:09:57:792,0.33,0.01,-0.62
18:09:57:793,0.35,-0.07,-0.64
18:09:57:796,0.33,-0.16,-0.63
18:09:57:804,0.31,-0.21,-0.59
18:09:57:815,0.23,-0.25,-0.53
18:09:57:823,0.14,-0.28,-0.45
18:09:57:836,0.05,-0.28,-0.37
18:09:57:843,-0.01,-0.28,-0.33
18:09:57:853,-0.00,-0.33,-0.31
18:09:57:862,0.02,-0.39,-0.31
18:09:57:893,0.04,-0.47,-0.31
18:09:57:895,0.06,-0.53,-0.31
18:09:57:897,0.04,-0.57,-0.28
18:09:57:906,-0.00,-0.59,-0.25
18:09:57:911,-0.07,-0.63,-0.19
18:09:57:921,-0.17,-0.67,-0.12
18:09:57:931,-0.27,-0.66,-0.04
18:09:57:941,-0.35,-0.63,0.04
18:09:57:986,-0.37,-0.59,0.12
18:09:57:989,-0.36,-0.53,0.19
18:09:57:991,-0.31,-0.46,0.25
18:09:57:993,-0.24,-0.39,0.29
18:09:57:995,-0.17,-0.29,0.33
18:09:57:999,-0.19,-0.23,0.36
18:09:58:8,-0.31,-0.21,0.39
18:09:58:22,-0.51,-0.21,0.39
18:09:58:28,-0.75,-0.21,0.34
18:09:58:38,-0.93,-0.23,0.27
18:09:58:47,-1.00,-0.24,0.17
18:09:58:80,-0.97,-0.26,0.07
18:09:58:84,-0.85,-0.26,-0.02
18:09:58:89,-0.66,-0.17,-0.09
18:09:58:92,-0.44,-0.03,-0.13
18:09:58:96,-0.21,0.19,-0.12
18:09:58:106,-0.03,0.44,-0.04
18:09:58:116,0.07,0.66,0.08
18:09:58:125,0.05,0.84,0.25
18:09:58:137,-0.04,0.93,0.41
18:09:58:144,-0.18,0.85,0.51
18:09:58:154,-0.33,0.70,0.52
18:09:58:164,-0.46,0.46,0.41
18:09:58:195,-0.54,0.19,0.25
18:09:58:198,-0.53,-0.01,0.05
18:09:58:201,-0.48,-0.16,-0.12
18:09:58:204,-0.36,-0.18,-0.25
18:09:58:212,-0.20,-0.11,-0.33
18:09:58:222,-0.03,0.01,-0.39
18:09:58:232,0.16,0.15,-0.43
18:09:58:242,0.35,0.25,-0.48
18:09:58:278,0.51,0.35,-0.51
18:09:58:285,0.62,0.48,-0.54
18:09:58:290,0.72,0.59,-0.56
18:09:58:292,0.77,0.67,-0.55
18:09:58:299,0.78,0.71,-0.51
18:09:58:306,0.76,0.69,-0.43
18:09:58:313,0.72,0.57,-0.32
18:09:58:321,0.64,0.42,-0.23
18:09:58:329,0.52,0.26,-0.17
18:09:58:339,0.39,0.09,-0.14
18:09:58:348,0.24,-0.01,-0.14
18:09:58:374,0.16,-0.09,-0.17
18:09:58:376,0.14,-0.19,-0.24
18:09:58:378,0.13,-0.24,-0.33
18:09:58:388,0.12,-0.26,-0.45
18:09:58:397,0.13,-0.34,-0.54
18:09:58:407,0.12,-0.41,-0.60
18:09:58:420,0.12,-0.54,-0.66
18:09:58:426,0.10,-0.65,-0.70
18:09:58:438,0.02,-0.61,-0.75
18:09:58:446,-0.04,-0.51,-0.78
18:09:58:456,-0.06,-0.33,-0.81
18:09:58:465,-0.08,-0.17,-0.86
18:09:58:581,-0.10,-0.07,-0.91
18:09:58:584,-0.17,-0.05,-0.97
18:09:58:586,-0.31,-0.09,-1.02
18:09:58:590,-0.49,-0.17,-1.03
18:09:58:592,-0.75,-0.21,-1.02
18:09:58:595,-1.03,-0.21,-0.98
18:09:58:596,-1.37,-0.16,-0.94
18:09:58:598,-1.58,0.03,-0.86
18:09:58:600,-1.67,0.29,-0.79
18:09:58:602,-1.68,0.57,-0.74
18:09:58:604,-1.53,0.84,-0.71
18:09:58:607,-1.41,0.99,-0.77
18:09:58:608,-1.37,1.00,-0.81
18:09:58:612,-1.37,0.84,-0.98
18:09:58:614,-1.20,0.89,-1.05
18:09:58:647,-1.16,0.96,-1.12
18:09:58:653,-1.20,1.05,-1.32
18:09:58:656,-1.21,1.37,-1.33
18:09:58:658,-1.39,1.43,-1.40
18:09:58:661,-1.62,1.47,-1.49
18:09:58:671,-1.61,1.66,-1.31
18:09:58:680,-1.64,1.77,-1.13
18:09:58:721,-1.74,1.95,-0.90
18:09:58:725,-1.74,2.19,-0.59
18:09:58:727,-1.82,2.31,-0.41
18:09:58:730,-1.92,2.45,-0.32
18:09:58:734,-1.97,2.54,-0.34
18:09:58:764,-1.96,2.57,-0.43
18:09:58:768,-1.95,2.55,-0.58
18:09:58:771,-1.94,2.54,-0.76
18:09:58:773,-2.03,2.58,-0.94
18:09:58:777,-2.13,2.62,-1.09
18:09:58:788,-2.24,2.67,-1.19
18:09:58:796,-2.27,2.60,-1.26
18:09:58:828,-2.18,2.43,-1.28
18:09:58:831,-2.05,2.22,-1.30
18:09:58:834,-1.88,1.99,-1.34
18:09:58:837,-1.66,1.76,-1.34
18:09:58:845,-1.44,1.58,-1.33
18:09:58:856,-1.24,1.38,-1.30
18:09:58:864,-1.13,1.17,-1.28
18:09:58:874,-1.17,1.01,-1.33
18:09:58:912,-1.34,0.94,-1.44
18:09:58:916,-1.50,0.98,-1.56
18:09:58:919,-1.60,1.11,-1.66
18:09:58:922,-1.59,1.25,-1.71
18:09:58:924,-1.39,1.33,-1.71
18:09:58:933,-1.09,1.34,-1.71
18:09:58:942,-0.73,1.26,-1.72
18:09:58:955,-0.35,1.12,-1.75
18:09:58:962,-0.05,0.93,-1.85
18:09:58:971,0.16,0.75,-2.00
18:09:58:981,0.30,0.58,-2.20
18:09:59:26,0.40,0.49,-2.44
18:09:59:31,0.47,0.48,-2.61
18:09:59:37,0.52,0.54,-2.70
18:09:59:40,0.54,0.67,-2.65
18:09:59:42,0.55,0.78,-2.50
18:09:59:45,0.62,0.83,-2.27
18:09:59:54,0.76,0.77,-2.02
18:09:59:59,0.99,0.57,-1.78
18:09:59:74,1.26,0.36,-1.56
18:09:59:79,1.45,0.20,-1.42
